uid,title,journal,issue,volume,pages,date,year,authors,keywords,doi,article_no,isi_id,issn,isbn,environment,category
WOS:000307972700007,Solid-phase aminolysis in the ammonium polyphosphate- pentaerythritol-amine system,THEORETICAL AND EXPERIMENTAL CHEMISTRY,3,48,176-181,JUL,2012,"Vakhitova, L. N. | Taran, N. A. | Lapushkin, M. P. | Drizhd, V. L. | Lakhtarenko, N. V. | Popov, A. F.",aminolysis | fire retardation efficiency | intumescent systems | heat stability | antipyren,10.1007/s11237-012-9258-6,NA,994YW,0040-5760,NA,all,all
WOS:000330933300011,Inhibitory effect of metal ions on the poly-phosphate release from sewage sludge during thermal treatment,ENVIRONMENTAL TECHNOLOGY,9,35,1157-1164,MAY 3,2014,"Zhang, Ming Yang | Kuba, Takahiro",,NA,NA,AA2OG,0959-3330,NA,all,all
WOS:A1972M639300051,EFFECTS OF A POLYPHOSPHATE SALT ON EATING QUALITY OF PRECOOKED-REHEATED AND FRESHLY COOKED TURKEY ROULADES STORED 4 AND 8 WEEKS,POULTRY SCIENCE,3,51,998-&,NA,1972,"SMITH, ML | BOWERS, JA",,NA,NA,M6393,0032-5791,NA,all,all
WOS:A1974V582400005,STUDIES ON INORGANIC POLYPHOSPHATE METABOLISM IN MYCOBACTERIUM-PHLEI .2. DIRECT UTILIZATION OF INORGANIC POLYPHOSPHATES FOR SYNTHESIS OF NUCLEIC-ACIDS IN M-PHLEI,ACTA MICROBIOLOGICA POLONICA SERIES A-MICROBIOLOGIA GENERALIS,4,6,301-310,NA,1974,"SZYMONA, O",,NA,NA,V5824,0001-6195,NA,all,all
WOS:000170177300019,Stability of enhanced biological phosphorus removal and composition of polyphosphate granules,WATER RESEARCH,13,35,3190-3196,SEP,2001,"Schonborn, C | Bauer, HD | Roske, I",enhanced biological phosphorus removal | polyphosphate granules | calcium | magnesium | potassium | electron microscopy | energy dispersive X-ray spectroscopy,NA,NA,458DE,0043-1354,NA,all,all
WOS:000452255000001,"Effect of divalent ions and a polyphosphate on composition, structure, and stiffness of simulated drinking water biofilms",NPJ BIOFILMS AND MICROBIOMES,NA,4,,JUL 18,2018,"Shen, Yun | Huang, Pin Chieh | Huang, Conghui | Sun, Peng | Monroy, Guillermo L. | Wu, Wenjing | Lin, Jie | Espinosa-Marzal, Rosa M. | Boppart, Stephen A. | Liu, Wen-Tso | Nguyen, Thanh H.",,10.1038/s41522-018-0058-1,NA,HD1FQ,2055-5008,NA,all,all
WOS:A1974U982300003,ABNORMALITIES IN SKELETAL UPTAKE OF TC-99M POLYPHOSPHATE COMPLEXES IN AREAS OF BONE ASSOCIATED WITH TISSUES WHICH HAVE BEEN SUBJECTED TO RADIATION-THERAPY,BRITISH JOURNAL OF RADIOLOGY,564,47,851-856,NA,1974,"COX, PH",,NA,NA,U9823,0007-1285,NA,all,all
WOS:000455747900019,Sulfurimonas subgroup GD17 cells accumulate polyphosphate under fluctuating redox conditions in the Baltic Sea: possible implications for their ecology,ISME JOURNAL,2,13,482-493,FEB,2019,"Moeller, Lars | Laas, Peeter | Rogge, Andreas | Goetz, Florian | Bahlo, Rainer | Leipe, Thomas | Labrenz, Matthias",,10.1038/s41396-018-0267-x,NA,HH5ED,1751-7362,NA,all,all
WOS:A1976BF30100004,RELATIVE ACCRETION OF TC-99M-POLYPHOSPHATE BY FORMING AND RESORBING BONE SYSTEMS IN RATS - ITS SIGNIFICANCE IN PATHOLOGIC BASIS OF BONE SCANNING,JOURNAL OF NUCLEAR MEDICINE,2,17,93-97,NA,1976,"GARCIA, DA | TOW, DE | KAPUR, KK | WELLS, H",,NA,NA,BF301,0161-5505,NA,all,all
WOS:000428873600001,Vinyl polysiloxane microencapsulated ammonium polyphosphate and its application in flame retardant polypropylene,JOURNAL OF POLYMER RESEARCH,4,25,,MAR 29,2018,"Zhu, Jianqiang | Lu, Xin | Yang, Huayu | Xin, Zhong",Vinyltrimethoxysilane | Microencapsulated ammonium polyphosphate | Polypropylene | Flame retardancy,10.1007/s10965-018-1505-7,NA,GB2HW,1022-9760,NA,all,all
WOS:000427650900008,Studies on the flammability of polypropylene/ammonium polyphosphate and montmorillonite by using the cone calorimeter test,OPEN CHEMISTRY,1,16,108-115,JAN,2018,"Hanna, A. A. | Nour, M. A. | Souaya, E. R. | Sherief, M. A. | Abdelmoaty, A. S.",Flame retardant | montmorillonite | cone calorimeter test | thermal analysis | flammability | acid treatment,10.1515/chem-2018-0013,NA,FZ5QL,2391-5420,NA,all,all
