uid,title,journal,issue,volume,pages,date,year,authors,keywords,doi,article_no,isi_id,issn,isbn,environment,category
WOS:000412256000023,"Soil phosphorus sorption capacity after three decades of intensive fertilization in Mato Grosso, Brazil",AGRICULTURE ECOSYSTEMS & ENVIRONMENT,NA,249,206-214,NOV 1,2017,"Roy, Eric D. | Willig, Edwin | Richards, Peter D. | Martinelli, Luiz A. | Vazquez, Felipe Ferraz | Pegorini, Lindomar | Spera, Stephanie A. | Porder, Stephen",Agricultural intensification | Amazon | Cerrado | Fertilizer | Oxisols | Tropics,10.1016/j.agee.2017.08.004,NA,FI8MF,0167-8809,NA,agriculture,agriculture
WOS:000500213400002,Effects of fertilizer types on nitrogen and phosphorous loss from rice-wheat rotation system in the Taihu Lake region of China,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,NA,285,,DEC 1,2019,"Wang, Lei | Zhao, Xu | Gao, Jixi | Butterly, Clayton R. | Chen, Qiuhui | Liu, Mingqing | Yang, Yuwen | Xi, Yunguan | Xiao, Xingji",Organic agriculture | Phosphorus loss | Nitrogen loss | Non-point pollution,10.1016/j.agee.2019.106605,NA,JS3MQ,0167-8809,NA,agriculture,agriculture
WOS:000305310800018,Technical standards of irrigation and drainage management in paddy field of water-saving and pollution-reduction with high yield,JOURNAL OF FOOD AGRICULTURE & ENVIRONMENT,2,10,1005-1011,APR,2012,"Xiao, Meng-hua | Yu, Shuang-en | Cheng, Guang | Shao, Dong-li",Controlled irrigation-drainage | fractional yield | rainwater utilization | ammonia nitrogen | phosphorus,NA,NA,959KH,1459-0255,NA,agriculture,agriculture
WOS:000242738100018,"Food inputs, water quality and nutrient accumulation in integrated pond systems: A multivariate approach",AQUACULTURE,1,261,160-173,NOV 16,2006,"Nhan, Dang K. | Milstein, Ana | Verdegem, Marc C. J. | Verreth, Johan A. V.",integrated aquaculture | food input | water quality | nutrient accumulation | participatory research | multivariate data analysis,10.1016/j.aquaculture.2006.07.015,NA,115MJ,0044-8486,NA,agriculture,agriculture
WOS:000399845800034,"Impact of irrigation based sugarcane cultivation on the Chiredzi and Runde Rivers quality, Zimbabwe",SCIENCE OF THE TOTAL ENVIRONMENT,NA,587,316-325,JUN 1,2017,"Nhiwatiwa, Tamuka | Dalu, Tatenda | Brendonck, Luc",Biomonitoring | Irrigation return flows | Macroinvertebrates | Sugarcane cultivation | River health | Water quality,10.1016/j.scitotenv.2017.02.155,NA,ES8ZN,0048-9697,NA,agriculture,agriculture
WOS:000321762900005,REVIEW: Nutrient stripping: the global disparity between food security and soil nutrient stocks,JOURNAL OF APPLIED ECOLOGY,4,50,851-862,AUG,2013,"Jones, Davey L. | Cross, Paul | Withers, Paul J. A. | DeLuca, Thomas H. | Robinson, David A. | Quilliam, Richard S. | Harris, Ian M. | Chadwick, David R. | Edwards-Jones, Gareth",agro-ecosystem functioning | Green Revolution | intensification | provisioning | sustainability | wastewater | water quality,10.1111/1365-2664.12089,NA,182RX,0021-8901,NA,agriculture,agriculture
WOS:000472703900011,Effectiveness of conservation agriculture in increasing crop productivity in low-input rainfed rice cropping systems under humid subtropical climate,FIELD CROPS RESEARCH,NA,239,104-113,JUN 1,2019,"Ranaivoson, Lalaina | Naudin, Krishna | Ripoche, Aude | Rabeharisoa, Lilia | Corbeels, Marc",Conservation agriculture | Crop residue mulch | No-tillage | Soil nitrogen | Weeds,10.1016/j.fcr.2019.05.002,NA,IE9ON,0378-4290,NA,agriculture,agriculture
WOS:000230019100008,Phosphorus dynamics observed through increasing scales in a nested headwater-to-river channel study,SCIENCE OF THE TOTAL ENVIRONMENT,1-3,344,83-106,MAY 15,2005,"Haygarth, PM | Wood, FL | Heathwaite, AL | Butler, PJ",phosphorus | scale | connectivity | base flow | storm flow | diffuse pollution | agriculture | river | taw,10.1016/j.scitotenv.2005.02.007,NA,938QY,0048-9697,NA,agriculture,agriculture
WOS:000376484300028,Trade in the US and Mexico helps reduce environmental costs of agriculture,ENVIRONMENTAL RESEARCH LETTERS,5,11,,MAY,2016,"Martinez-Melendez, Luz A. | Bennett, Elena M.",environmental accounting | crop production efficiencies | trade scenarios,10.1088/1748-9326/11/5/055004,NA,DM6TC,1748-9326,NA,agriculture,agriculture
WOS:000312178100007,Increasing nutrient use efficiency through improved feeding and manure management in urban and peri-urban livestock units of a West African city: A scenario analysis,AGRICULTURAL SYSTEMS,NA,114,64-72,JAN,2013,"Diogo, Rodrigue V. C. | Schlecht, Eva | Buerkert, Andreas | Rufino, Mariana C. | van Wijk, Mark T.",Cattle husbandry | Feeding management | Livestock simulator | Urban agriculture,10.1016/j.agsy.2012.09.001,NA,052DO,0308-521X,NA,agriculture,agriculture
