uid,title,journal,issue,volume,pages,date,year,authors,keywords,doi,article_no,isi_id,issn,isbn,environment,category
WOS:000303306400030,Metabolic versatility of Gram-positive microbial isolates from contaminated river sediments,JOURNAL OF HAZARDOUS MATERIALS,NA,215,243-251,MAY 15,2012,"Narancic, Tanja | Djokic, Lidija | Kenny, Shane T. | O'Connor, Kevin E. | Radulovic, Vanja | Nikodinovic-Runic, Jasmina | Vasiljevic, Branka",Gram-positive | Biodegradation | Aromatic compound | Heavy metal | Biopolymer,10.1016/j.jhazmat.2012.02.059,NA,932QU,0304-3894,NA,river,freshwater
WOS:000457234300001,Phosphorus Forms in Sediments of a River-Dominated Estuary,FRONTIERS IN MARINE SCIENCE,NA,5,,SEP 4,2018,"Watson, Sheree J. | Cade-Menun, Barbara J. | Needoba, Joseph A. | Peterson, Tawnya D.",phosphorus | P-31-nuclear magnetic resonance | sediments | river | estuary,10.3389/fmars.2018.00302,NA,HJ5PP,NA,NA,river,freshwater
WOS:000388580200045,Characteristics of phosphorus components in the sediments of main rivers into the Bohai Sea,ECOLOGICAL ENGINEERING,NA,97,426-433,DEC,2016,Shan Baoqing | Li Jie | Zhang Wenqiang | Di Zhenzhen | Jin Xin,Phosphorus | Sediments | Rivers | Solution P-31-NMR | SMT | Bohai Sea,10.1016/j.ecoleng.2016.10.042,NA,ED1CA,0925-8574,NA,river,freshwater
WOS:000331924200021,Monitoring bioavailable phosphorus in lotic systems: A polyphasic approach based on cyanobacteria,SCIENCE OF THE TOTAL ENVIRONMENT,NA,475,158-168,MAR 15,2014,"Angeles Munoz-Martin, M. | Martinez-Rosell, Aitor | Perona, Elvira | Fernandez-Pinas, Francisca | Mateo, Pilar",Bioavailable phosphorus | Self-luminescent bioreporter | Phosphatase activity | Polyphosphate granules | Hairs | Calyptra,10.1016/j.scitotenv.2013.06.076,NA,AB6UE,0048-9697,NA,river,freshwater
WOS:000345320800003,"Species and Biogeochemical Cycles of Organic Phosphorus in Sediments From a River With Different Aquatic Plants Located in Huaihe River Watershed, China",INTERNATIONAL JOURNAL OF PHYTOREMEDIATION,3,17,215-221,NA,2015,"Yuan, He Zhong | Pan, Wei | Ren, Li Jun | Liu, Eeng Feng | Shen, Ji | Geng, Qi Fang | An, Shu Qing",aquatic plant | sediments | organic phosphorus | species and biogeochemical cycles | P-31-NMR spectroscopy,10.1080/15226514.2013.876969,NA,AU0NT,1522-6514,NA,river,freshwater
WOS:000242793400067,Characterizing dissolved and particulate phosphorus in water with P-31 nuclear magnetic resonance spectroscopy,ENVIRONMENTAL SCIENCE & TECHNOLOGY,24,40,7874-7880,DEC 15,2006,"Cade-Menun, Barbara J. | Navaratnam, John A. | Walbridge, Mark R.",,10.1021/es061843e,NA,116HP,0013-936X,NA,river,freshwater
WOS:000292975600001,Enhancement of Nutrient Removal from Eutrophic Water by a Plant-Microorganisms Combined System,ENVIRONMENTAL ENGINEERING SCIENCE,8,28,543-554,AUG,2011,"Li, Hong | Zhao, He-Ping | Hao, Hu-Lin | Liang, Jun | Zhao, Feng-Liang | Xiang, Lv-Cheng | Yang, Xiao-E | He, Zhen-Li | Stoffella, Peter J.",bioremediation | denitrifying polyphosphate-accumulating organisms (DPAOs) | eutrophication | perennial grasses,10.1089/ees.2011.0026,NA,795LL,1092-8758,NA,river,freshwater
WOS:000304810200012,"IDENTIFICATION AND PHYSIOLOGICAL ASPECTS OF A NOVEL CAROTENOID-ENRICHED, METAL-RESISTANT MICROALGA ISOLATED FROM AN ACIDIC RIVER IN HUELVA (SPAIN)",JOURNAL OF PHYCOLOGY,3,48,607-614,JUN,2012,"Garbayo, Ines | Torronteras, Rafael | Forjan, Eduardo | Cuaresma, Maria | Casal, Carlos | Mogedas, Benito | Ruiz-Dominguez, Maria C. | Marquez, Carmen | Vaquero, Isabel | Fuentes-Cordero, Juan L. | Fuentes, Rocio | Gonzalez-del-Valle, Manuel | Vilchez, Carlos",acidophile | carotenoids | Coccomyxa | lutein | microalgae | oxidative stress,10.1111/j.1529-8817.2012.01160.x,NA,952RP,0022-3646,NA,river,freshwater
WOS:000236194300004,Seasonal cycling of phosphorus in the southern bight of the North Sea,BIOGEOSCIENCES,1,2,27-42,NA,2005,"van der Zee, C | Chou, L",,NA,NA,024KQ,1726-4170,NA,river,freshwater
WOS:000344922000001,"Effects of nutrient replacement on benthic macroinvertebrates in an ultraoligotrophic reach of the Kootenai River, 2003-2010",FRESHWATER SCIENCE,4,33,1009-1023,DEC,2014,"Minshall, G. Wayne | Shafii, Bahman | Price, William J. | Holderman, Charlie | Anders, Paul J. | Lester, Gary | Barrett, Pat",benthic macroinvertebrates | large rivers | nutrient addition | water quality | food resources | trophic ecology | NMDS | BACI,10.1086/677900,NA,AT4PH,2161-9549,NA,river,freshwater
