uid,title,journal,issue,volume,pages,date,year,authors,keywords,doi,article_no,isi_id,issn,isbn,environment,category
WOS:000082247900001,"Why recover phosphorus for recycling, and how?",ENVIRONMENTAL TECHNOLOGY,7,20,651-662,JUL,1999,"Driver, J | Lijmbach, D | Steen, I",phosphorus recovery | phosphorus removal | wastewater treatment | struvite | calcium phosphate,NA,NA,230JK,0959-3330,NA,saltwater,marine
WOS:000423523200013,Thin-Film Nanocomposite Nanofiltration Membranes Incorporated with Graphene Oxide for Phosphorus Removal,CHEMICAL ENGINEERING & TECHNOLOGY,2,41,319-326,FEB,2018,"Koo, Chai Hoon | Lau, Woei Jye | Lai, Gwo Sung | Lai, Soon Onn | Thiam, Hui San | Ismail, Ahmad Fauzi",Nanofiltration | Phosphorus removal | Thin-film nanocomposite membrane | Wastewater treatment,10.1002/ceat.201700357,NA,FU0EC,0930-7516,NA,saltwater,marine
WOS:000477642200009,Phosphorus alleviation of salinity stress: effects of saltwater intrusion on an Everglades freshwater peat marsh,ECOLOGY,5,100,,MAY,2019,"Wilson, Benjamin J. | Servais, Shelby | Charles, Sean P. | Mazzei, Viviana | Gaiser, Evelyn E. | Kominoski, John S. | Richards, Jennifer H. | Troxler, Tiffany G.",carbon cycling | coastal marsh | Florida Everglades | peat collapse | phosphorus | sea level rise,10.1002/ecy.2672,NA,IL9YU,0012-9658,NA,saltwater,marine
WOS:000280479300008,COMPARISON BETWEEN AN ANIONIC EXCHANGER OF CHITOSAN QUATERNARY AMMONIUM SALT AND A COMMERCIAL EXCHANGER IN THE EXTRACTION OF AVAILABLE PHOSPHORUS IN SOILS,QUIMICA NOVA,5,33,1047-1052,NA,2010,"Goncalves Junior, Affonso Celso | Nacke, Herbert | de Favere, Valfredo Tadeu | Gomes, Gilmar Divino",chitosan | phosphorus extraction | soil,NA,NA,633DI,0100-4042,NA,saltwater,marine
WOS:A1991FG11400019,REVERSE-OSMOSIS AS A CONCENTRATION TECHNIQUE FOR SOLUBLE ORGANIC PHOSPHORUS IN FRESH-WATER,ANALYTICA CHIMICA ACTA,2,244,269-274,APR 2,1991,"STEWART, BM | JORDAN, C | BURNS, DT",REVERSE OSMOSIS | PHOSPHORUS,NA,NA,FG114,0003-2670,NA,saltwater,marine
WOS:000082247900006,Perspectives for phosphorus recovery offered by enhanced biological P removal,ENVIRONMENTAL TECHNOLOGY,7,20,721-725,JUL,1999,"Strickland, J",phosphorus | nutrients | activated sludge | biological phosphorus removal | struvite,NA,NA,230JK,0959-3330,NA,saltwater,marine
WOS:000238141100003,Phosphorus and nitrogen content in the water of a coastal wetland in the Mar Menor Lagoon (SE Spain): Relationships with effluents from urban and agricultural areas,WATER AIR AND SOIL POLLUTION,1-4,173,21-38,JUN,2006,"Alvarez-Rogel, J | Jimenez-Carceles, FJ | Nicolas, CE",salt-marsh | eutrophication | Mar Menor | water quality | nitrogen | ammonium | phosphorus,10.1007/s11270-005-9020-y,NA,051DN,0049-6979,NA,saltwater,marine
WOS:000076077400002,Wastewater treatment using lime and sea salt brine,ARAB GULF JOURNAL OF SCIENTIFIC RESEARCH,1,16,15-28,APR,1998,"Shanableh, A",,NA,NA,122NB,1015-4442,NA,saltwater,marine
WOS:000357592300018,Phosphorus recovery from waters using nanofiltration,DESALINATION AND WATER TREATMENT,5,55,1308-1315,JUL 31,2015,"dos Santos, Cristele | Ribeiro, Alexandra | Teixeira, Margarida Ribau",Phosphorus | Recovery | Removal | Nanofiltration | Surface waters,10.1080/19443994.2014.925831,NA,CM3OR,1944-3994,NA,saltwater,marine
WOS:A1991FP59800016,"ANNUAL MATERIAL PROCESSING BY A SALT-MARSH ESTUARINE-BASIN IN SOUTH-CAROLINA, USA",MARINE ECOLOGY PROGRESS SERIES,1-2,72,153-166,MAY,1991,"DAME, RF | SPURRIER, JD | WILLIAMS, TM | KJERFVE, B | ZINGMARK, RG | WOLAVER, TG | CHRZANOWSKI, TH | MCKELLAR, HN | VERNBERG, FJ",,NA,NA,FP598,0171-8630,NA,saltwater,marine
WOS:000082132400016,The study of the stability of aqueous white phosphorus emulsions,COLLOID JOURNAL,4,61,505-508,JUL-AUG,1999,"Tarasova, NP | Smetannikov, YV | Mikhailova, EG | Kochetov, IN | Belyaev, SG",,NA,NA,228JB,1061-933X,NA,saltwater,marine
WOS:000277690800002,"One-Pot Synthesis of Alkyl 3-(Diphenylphosphoryl)-3-(10H-phenothiazin-10-yl)propanoates from Alkyl Acetylenecarboxylates, Phenothiazine, and Triphenylphosphine",PHOSPHORUS SULFUR AND SILICON AND THE RELATED ELEMENTS,12,184,3126-3133,NA,2009,"Ramazani, Ali | Sadri, Fariba",Acetylenic ester | DEPT-135 experiment | phenothiazine | phenothiazine containing diphenylphosphine oxide derivatives | phosphorus ylide | triphenylphosphine | vinyltriphenylphosphonium salts,10.1080/10426500802704845,NA,596NB,1042-6507,NA,saltwater,marine
WOS:000413408200009,Synthesis of new functionalized organophosphorus acids and their derivatives with indan-1-carboxylic acid moieties,HETEROATOM CHEMISTRY,5,28,,SEP,2017,"Prishchenko, Andrey A. | Livantsov, Mikhail V. | Novikova, Olga P. | Livantsova, Ludmila I. | Petrosyan, Valery S.",2-phosphorus-substituted derivatives of indan-1-carboxylic acid | sodium salts | trimethylsilyl 1H-indene-2-carboxylate | trimethylsilyl esters of trivalent phosphorus acids,10.1002/hc.21400,NA,FK3TE,1042-7163,NA,saltwater,marine
WOS:000392372100012,Experimental study on the effect of combined modified aluminum and magnesium and phosphorus removal of zeolite,BULGARIAN CHEMICAL COMMUNICATIONS,NA,48,80-83,NA,2016,"Xu, Li | Jiang, Tao | Yu, Pengfei | Zhao, Qiuju",Zeolite | Salt modification | Adsorption | Phosphorus removal | Elution regeneration,NA,NA,EI3EI,0324-1130,NA,saltwater,marine
WOS:000309699100013,Ein einfacher Zugang zu Tetramethylphosphoniumiodid,ZEITSCHRIFT FUR NATURFORSCHUNG SECTION B-A JOURNAL OF CHEMICAL SCIENCES,8,67,853-854,AUG,2012,"Herrmann, Florian | Kuhn, Norbert",Phosphorus | Synthesis | Alkylation | Phosphonium Salt,10.5560/ZNB.2012-0129,NA,018WZ,0932-0776,NA,saltwater,marine
WOS:000450383400072,Assessment on the effects of aluminum-modified clay in inactivating internal phosphorus in deep eutrophic reservoirs,CHEMOSPHERE,NA,215,657-667,JAN,2019,"Wang, Jingfu | Chen, Jingan | Chen, Quan | Yang, Haiquan | Zeng, Yan | Yu, Pingping | Jin, Zuxue",Aluminum-modified clay | Phosphorus | Sediment | Diffusive gradients in thin films | High-resolution dialysis peeper,10.1016/j.chemosphere.2018.10.095,NA,HA6IO,0045-6535,NA,saltwater,marine
WOS:000237763100007,"Contents of nitrogen, ammonium, phosphorus, pesticides and heavy metals, in a salt marsh in the coast of the Mar Menor Lagoon (SE Spain)",FRESENIUS ENVIRONMENTAL BULLETIN,5,15,370-378,NA,2006,"Jimenez-Carcelesl, Francisco Jose | Egea, Consuelo | Rodriguez-Caparros, Ana Belen | Barbosa, Osvaldo Andres | Delgado, Maria Jose | Ortiz, Roque | Alvarez-Rogel, Jose",eutrophication | nitrates | phosphorus | ammonium | pesticides | heavy metals | Mar Menor,NA,NA,045SS,1018-4619,NA,saltwater,marine
WOS:000418619300004,Capacitive deionization for nutrient recovery from wastewater with disinfection capability,ENVIRONMENTAL SCIENCE-WATER RESEARCH & TECHNOLOGY,1,4,33-39,JAN 1,2018,"Ge, Zheng | Chen, Xi | Huang, Xia | Ren, Zhiyong Jason",,10.1039/c7ew00350a,NA,FQ8NK,2053-1400,NA,saltwater,marine
WOS:000083269000026,Elimination of phosphorus from municipal and industrial waste water,WATER SCIENCE AND TECHNOLOGY,4-5,40,195-202,NA,1999,"Donnert, D | Salecker, M",phosphorus removal | recycling | adsorption | Activated Alumina | crystallisation | calcite,NA,NA,248HL,0273-1223,NA,saltwater,marine
WOS:000296031800007,"Interactive effects of salinity and phosphorus availability on growth, water relations, nutritional status and photosynthetic activity of barley (Hordeum vulgare L.)",PLANT BIOLOGY,6,13,872-880,NOV,2011,"Zribi, O. Talbi | Abdelly, C. | Debez, A.",Compatible solutes | organic and inorganic solutes | phosphorus availability | photosynthesis | proline | salinity | sugars,10.1111/j.1438-8677.2011.00450.x,NA,835JD,1435-8603,NA,saltwater,marine
WOS:000290051700009,EXOGENOUS APPLICATION OF POTASSIUM DIHYDROGEN PHOSPHATE CAN ALLEVIATE THE ADVERSE EFFECTS OF SALT STRESS ON SUNFLOWER,JOURNAL OF PLANT NUTRITION,7,34,1041-1057,NA,2011,"Akram, Muhammad Saeed | Ashraf, Muhammad",KH2PO4 | supplementary K plus P | salt stress | mineral nutrients | photosynthetic capacity,10.1080/01904167.2011.555585,NA,756YW,0190-4167,NA,saltwater,marine
WOS:000297090600012,PHOSPHORUS REMOVAL FROM STABILIZATION LAGOON EFFLUENTS USING WATER TREATMENT PLANT SLUDGE,INTERCIENCIA,10,36,774-778,OCT,2011,"Soares Chao, Iara Regina | Carolina Yabroudi, Suher | Morita, Dione Mari",,NA,NA,848YI,0378-1844,NA,saltwater,marine
WOS:000232457600009,Aqueous Wittig reactions of aldehydes with in situ formed semistabilized phosphorus ylides,SYNTHETIC COMMUNICATIONS,19,35,2543-2551,NA,2005,"Wu, JL | Li, D | Zhang, D",aldehydes | aqueous reaction | phosphorus ylide | Wittig,10.1080/00397910500213054,NA,972MJ,0039-7911,NA,saltwater,marine
WOS:000341106600001,Impact of saltwater inflows on phosphorus cycling and eutrophication in the Baltic Sea: a 3D model study,TELLUS SERIES A-DYNAMIC METEOROLOGY AND OCEANOGRAPHY,NA,66,,NA,2014,"Eilola, Kari | Almroth-Rosell, Elin | Meier, H. E. Markus",Phosphorus | eutrophication | saltwater inflows | biogeochemistry | Baltic Sea | numerical modelling,10.3402/tellusa.v66.23985,NA,AO1WQ,NA,NA,saltwater,marine
WOS:000254473000028,Phosphorus fractionation and distribution in salt marsh soils affected by mine wastes and eutrophicated water: A case study in SE Spain,GEODERMA,1-2,144,299-309,MAR 15,2008,"Jimenez-Carceles, F. J. | Alvarez-Rogel, J.",phosphorus fractionation | soluble phosphorus | wastewater | mine wastes | Mar Menor | salt marsh soils,10.1016/j.geoderma.2007.11.024,NA,281CC,0016-7061,NA,saltwater,marine
WOS:000267762600065,Dendrimers ended by non-symmetrical azadiphosphonate groups: Synthesis and immunological properties,BIOORGANIC & MEDICINAL CHEMISTRY LETTERS,14,19,3963-3966,JUL 15,2009,"Marchand, Patrice | Griffe, Laurent | Poupot, Mary | Turrin, Cedric-Olivier | Bacquet, Gerard | Fournie, Jean-Jacques | Majoral, Jean-Pierre | Poupot, Remy | Caminade, Anne-Marie",Phosphonates | Synthesis | Immunology | PBMC | Activation of monocytes,10.1016/j.bmcl.2009.03.003,NA,467SL,0960-894X,NA,saltwater,marine
WOS:000292075000022,The behavior of phosphorus in sub- and super-critical water gasification of sewage sludge,CHEMICAL ENGINEERING JOURNAL,1,171,190-196,JUN 15,2011,"Zhu, W. | Xu, Z. R. | Li, L. | He, C.",Supercritical water gasification | Sewage sludge | Phosphorus fractionation | Solubility | Salt precipitation,10.1016/j.cej.2011.03.090,NA,783IP,1385-8947,NA,saltwater,marine
WOS:000225137100031,Why the limiting nutrient differs between temperate coastal seas and freshwater lakes: A matter of salt,LIMNOLOGY AND OCEANOGRAPHY,6,49,2236-2241,NOV,2004,"Blomqvist, S | Gunnars, A | Elmgren, R",,NA,NA,871MF,0024-3590,NA,saltwater,marine
WOS:A1993KP12700001,A DYNAMIC NUTRIENT BUDGET OF SUBSYSTEM INTERACTIONS IN A SALT-MARSH ESTUARY,ESTUARINE COASTAL AND SHELF SCIENCE,2,36,105-131,FEB,1993,"CHILDERS, DL | MCKELLAR, HN | DAME, RF | SKLAR, FH | BLOOD, ER",SALT MARSHES | SUBSYSTEM FLUXES | DYNAMIC NUTRIENT BUDGET | CARBON | NITROGEN | PHOSPHORUS | INTEGRATION | SYNTHESIS | HYDRODYNAMICS | USA EAST COAST,NA,NA,KP127,0272-7714,NA,saltwater,marine
WOS:000082247900008,Elimination of phosphorus from waste water by crystallization,ENVIRONMENTAL TECHNOLOGY,7,20,735-742,JUL,1999,"Donnert, D | Salecker, M",crystallization | phosphorus removal and recycling | Calcite,NA,NA,230JK,0959-3330,NA,saltwater,marine
WOS:000367760400003,Nutrient dynamics from the Changjiang (Yangtze River) estuary to the East China Sea,JOURNAL OF MARINE SYSTEMS,NA,154,15-27,FEB,2016,"Liu, Su Mei | Qi, Xiao Hong | Li, Xiaona | Ye, Hao Ran | Wu, Ying | Ren, Jing Ling | Zhang, Jing | Xu, Wei Yi",Nutrients | Phosphorus | Wetland | Changjiang estuary | East China Sea,10.1016/j.jmarsys.2015.05.010,NA,DA4HH,0924-7963,NA,saltwater,marine
WOS:000071909100005,Induction of acid phosphatase in detached rice leaves under stress conditions,BOTANICAL BULLETIN OF ACADEMIA SINICA,1,39,29-32,JAN,1998,"Shih, CY | Kao, CH",acid phosphatase | methyl jasmonate | Oryza sativa | osmotic stress | salt stress | water stress,NA,NA,YW206,0006-8063,NA,saltwater,marine
