uid,category_str,count
WOS:000186563100015,marine,1
WOS:000186666500005,freshwater,1
WOS:000186901000001,marine,1
WOS:000187023800021,freshwater,1
WOS:000187563500006,terrestrial,1
WOS:000187634600006,wwt,1
WOS:000187708600002,terrestrial,1
WOS:000187740400005,terrestrial,1
WOS:000187764800006,terrestrial,1
WOS:000187772100005,terrestrial,1
WOS:000187773000007,terrestrial,1
WOS:000187776100004,terrestrial,1
WOS:000187776100005,terrestrial,1
WOS:000187810500007,terrestrial,1
WOS:000187881200009,freshwater,1
WOS:000187974100004,terrestrial,1
WOS:000188010600009,freshwater,1
WOS:000188086000010,"terrestrial,marine",2
WOS:000188252200004,terrestrial,1
WOS:000188421700074,terrestrial,1
WOS:000188502800009,freshwater,1
WOS:000188660500001,"terrestrial,marine",2
WOS:000188721200004,terrestrial,1
WOS:000188721400008,freshwater,1
WOS:000188722700005,marine,1
WOS:000188774900011,"terrestrial,freshwater,marine",3
WOS:000188820200002,terrestrial,1
WOS:000189344400047,freshwater,1
WOS:000189367200003,terrestrial,1
WOS:000189367200004,terrestrial,1
WOS:000189367600001,terrestrial,1
WOS:000189368600007,terrestrial,1
WOS:000201738500008,marine,1
WOS:000202044600035,marine,1
WOS:000207438100003,"terrestrial,freshwater,marine",3
WOS:000207557000008,freshwater,1
WOS:000207849200009,marine,1
WOS:000208250700004,freshwater,1
WOS:000208350800029,agriculture,1
WOS:000208550700009,freshwater,1
WOS:000208655000004,freshwater,1
WOS:000208675300004,marine,1
WOS:000208863500090,terrestrial,1
WOS:000208863500241,terrestrial,1
WOS:000208863600062,marine,1
WOS:000208863600280,"terrestrial,marine",2
WOS:000208983200003,freshwater,1
WOS:000208983500002,freshwater,1
WOS:000209028600004,"terrestrial,freshwater",2
WOS:000209028600005,"terrestrial,freshwater",2
WOS:000209176800002,terrestrial,1
WOS:000209196100004,wwt,1
WOS:000209212900022,terrestrial,1
WOS:000209214900012,terrestrial,1
WOS:000209222800034,marine,1
WOS:000209222900055,freshwater,1
WOS:000209223000001,terrestrial,1
WOS:000209223100039,marine,1
