uid,category_str,count
WOS:000072307500023,"terrestrial,freshwater",2
WOS:000072318400003,terrestrial,1
WOS:000072318400005,terrestrial,1
WOS:000072323100006,terrestrial,1
WOS:000072324700003,"terrestrial,freshwater,agriculture",3
WOS:000072339900001,"terrestrial,freshwater",2
WOS:000072341500004,terrestrial,1
WOS:000072341500006,terrestrial,1
WOS:000072341500008,terrestrial,1
WOS:000072351600007,freshwater,1
WOS:000072358300004,terrestrial,1
WOS:000072396400003,terrestrial,1
WOS:000072404800005,terrestrial,1
WOS:000072415500003,terrestrial,1
WOS:000072418400004,terrestrial,1
WOS:000072420200009,freshwater,1
WOS:000072420200011,terrestrial,1
WOS:000072426900004,terrestrial,1
WOS:000072426900007,terrestrial,1
WOS:000072427000013,terrestrial,1
WOS:000072427700012,freshwater,1
WOS:000072427700016,wwt,1
WOS:000072445500007,terrestrial,1
WOS:000072445500009,terrestrial,1
WOS:000072445500014,terrestrial,1
WOS:000072457700017,terrestrial,1
WOS:000072457700022,terrestrial,1
WOS:000072462000002,wwt,1
WOS:000072478400009,terrestrial,1
WOS:000072478400023,terrestrial,1
WOS:000072479400033,freshwater,1
WOS:000072482800001,"terrestrial,freshwater",2
WOS:000072483500013,terrestrial,1
WOS:000072483500015,terrestrial,1
WOS:000072486100010,freshwater,1
WOS:000072489800002,terrestrial,1
WOS:000072492900004,freshwater,1
WOS:000072503300001,"terrestrial,freshwater",2
WOS:000072503300002,freshwater,1
WOS:000072503300005,terrestrial,1
WOS:000072503900003,freshwater,1
WOS:000072504500010,"wwt,terrestrial",2
WOS:000072504500012,terrestrial,1
WOS:000072506600015,terrestrial,1
WOS:000072509400007,terrestrial,1
WOS:000072509400012,agriculture,1
WOS:000072509400017,terrestrial,1
WOS:000072524100012,freshwater,1
WOS:000072533200005,freshwater,1
WOS:000072533200008,freshwater,1
WOS:000072536800009,terrestrial,1
WOS:000072537600009,marine,1
WOS:000072545600022,"terrestrial,marine",2
WOS:000072547900007,terrestrial,1
WOS:000072549200009,"terrestrial,freshwater",2
WOS:000072549200012,terrestrial,1
WOS:000072554200007,terrestrial,1
WOS:000072554200016,terrestrial,1
WOS:000072568400005,terrestrial,1
WOS:000072584200008,terrestrial,1
WOS:000072584200018,freshwater,1
WOS:000072589400011,"freshwater,marine",2
WOS:000072592600006,freshwater,1
WOS:000072601600016,terrestrial,1
WOS:000072601600023,"terrestrial,freshwater",2
WOS:000072604600004,freshwater,1
WOS:000072644100003,terrestrial,1
WOS:000072644100009,terrestrial,1
WOS:000072648400001,terrestrial,1
WOS:000072665600006,"wwt,marine",2
WOS:000072668800005,"terrestrial,freshwater",2
WOS:000072672200010,"terrestrial,freshwater",2
WOS:000072673700012,terrestrial,1
WOS:000072673800065,freshwater,1
WOS:000072675700006,"terrestrial,freshwater",2
WOS:000072681800002,"wwt,terrestrial",2
WOS:000072684700003,terrestrial,1
WOS:000072684700004,terrestrial,1
WOS:000072686300030,terrestrial,1
WOS:000072686300036,terrestrial,1
WOS:000072701700008,freshwater,1
